Disease,Description,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Medications,Diet,Workout
Acne,"Acne is a skin condition that occurs when hair follicles become plugged with oil and dead skin cells. It causes whiteheads, blackheads, or pimples. Acne is most common among teenagers, though it affects people of all ages.",keep face clean,avoid touching face,use non-comedogenic products,manage stress,"['Benzoyl Peroxide', 'Salicylic Acid', 'Retinoids', 'Antibiotics']","['Low glycemic foods', 'Zinc-rich foods', 'Omega-3 fatty acids', 'Probiotics', 'Green vegetables']","Regular exercise, Shower after sweating, Stay hydrated, Stress-reducing activities like yoga"
Carcinoma,"Carcinoma is a type of cancer that starts in cells that make up the skin or tissue lining organs. Skin carcinomas include basal cell and squamous cell carcinomas. Early detection and treatment is crucial.",immediate medical consultation,avoid sun exposure,use high SPF sunscreen,regular skin checks,"['Surgical Removal', 'Mohs Surgery', 'Radiation Therapy', 'Topical Chemotherapy']","['Antioxidant-rich foods', 'Cruciferous vegetables', 'Berries', 'Green tea', 'Omega-3 fatty acids']","Light exercise as tolerated, Avoid sun during peak hours, Indoor activities recommended, Follow oncologist guidelines"
Eczema,"Eczema (atopic dermatitis) is a condition that makes your skin red and itchy. It's common in children but can occur at any age. Eczema is chronic and tends to flare periodically. It may be accompanied by asthma or hay fever.",moisturize regularly,avoid triggers,use gentle soaps,keep nails short,"['Hydrocortisone Cream', 'Antihistamines', 'Calcineurin Inhibitors', 'Moisturizers']","['Anti-inflammatory foods', 'Omega-3 rich fish', 'Probiotics', 'Fruits and vegetables', 'Avoid dairy if trigger']","Regular gentle exercise, Swimming in chlorine-free pools, Avoid overheating, Shower after sweating"
Keratosis,"Keratosis refers to skin growths caused by keratin buildup. Actinic keratosis is precancerous from sun damage, while seborrheic keratosis is benign. Regular monitoring is important for actinic types.",avoid sun exposure,use sunscreen daily,wear protective clothing,regular dermatologist visits,"['Fluorouracil Cream', 'Imiquimod', 'Cryotherapy', 'Chemical Peels']","['Antioxidant-rich foods', 'Vitamin C foods', 'Beta-carotene', 'Green leafy vegetables', 'Stay hydrated']","Indoor exercises preferred, Avoid prolonged sun exposure, Use sunscreen before outdoor activities, Stay active safely"
Milia,"Milia are small, white bumps that appear on the skin, typically on the face. They occur when keratin becomes trapped beneath the surface of the skin. Milia are harmless and often disappear on their own.",gentle cleansing,avoid heavy creams,don't squeeze or pick,use non-comedogenic products,"['Usually none required', 'Retinoids', 'Chemical peels', 'Extraction by dermatologist']","['Light healthy diet', 'Adequate hydration', 'Vitamin A foods', 'Avoid heavy oily foods']","Regular exercise, Good skincare routine, Stay hydrated, Normal daily activities"
Rosacea,"Rosacea is a common skin condition that causes redness and visible blood vessels in your face. It may also produce small, red, pus-filled bumps. Signs and symptoms may flare up for weeks to months and then go away.",avoid triggers,use gentle skincare,protect from sun,manage stress,"['Metronidazole Gel', 'Azelaic Acid', 'Brimonidine', 'Oral Antibiotics']","['Anti-inflammatory foods', 'Omega-3 fatty acids', 'Avoid spicy foods', 'Avoid alcohol', 'Cooling foods']","Moderate exercise, Avoid overheating, Exercise in cool environments, Stay hydrated during activity"
Actinic Keratosis,"Actinic keratosis is a rough, scaly patch on your skin that develops from years of exposure to the sun. It's most commonly found on your face, lips, ears, hands, forearms, scalp or neck. Also known as solar keratosis, it is potentially precancerous.",avoid sun exposure,use sunscreen daily,wear protective clothing,regular dermatologist visits,"['Fluorouracil Cream', 'Imiquimod', 'Diclofenac Gel', 'Cryotherapy']","['Antioxidant-rich foods', 'Green tea', 'Berries', 'Leafy greens', 'Fish']","Avoid prolonged sun exposure, Stay hydrated, Indoor exercises preferred, Use sunscreen before outdoor activities"
Basal Cell Carcinoma,"Basal cell carcinoma is a type of skin cancer that begins in the basal cells. It often appears as a slightly transparent bump on the sun-exposed skin, though it can take other forms. BCC is caused by long-term exposure to ultraviolet radiation.",immediate medical consultation,avoid sun exposure,use high SPF sunscreen,regular skin checks,"['Surgical Removal', 'Mohs Surgery', 'Imiquimod', 'Fluorouracil', 'Vismodegib']","['Cancer-fighting foods', 'Turmeric', 'Cruciferous vegetables', 'Tomatoes', 'Omega-3 fatty acids']","Light exercise as tolerated, Avoid sun during peak hours, Indoor activities, Post-surgery: Follow doctor's activity restrictions"
Squamous Cell Carcinoma,"Squamous cell carcinoma of the skin is a common form of skin cancer that develops in the squamous cells that make up the middle and outer layers of the skin. SCC is usually not life-threatening, though it can be aggressive.",immediate medical consultation,complete sun protection,regular dermatology follow-ups,monitor all skin changes,"['Surgical Excision', 'Radiation Therapy', 'Imiquimod', 'Fluorouracil', 'Cetuximab']","['Anti-inflammatory diet', 'Green vegetables', 'Berries', 'Nuts', 'Whole grains']","Gentle exercise, Avoid direct sunlight, Stress reduction activities, Follow medical team guidelines"
Melanoma,"Melanoma is the most serious type of skin cancer. It develops in the cells (melanocytes) that produce melanin. Melanoma can form anywhere on your skin, but it most often develops in areas that have had exposure to the sun. Early detection is critical.",urgent medical consultation,immediate dermatology referral,avoid all sun exposure,monitor moles regularly,"['Surgical Removal', 'Immunotherapy', 'Targeted Therapy', 'Radiation', 'Chemotherapy']","['Immune-boosting foods', 'Vitamin D supplements', 'Mediterranean diet', 'Lean proteins', 'Colorful fruits and vegetables']","Follow oncologist recommendations, Light activity as tolerated, Stress management, Avoid sun completely during treatment"
